Date,Symbol,Close,High,Low,Open,Volume,SMA_14,RSI
2024-08-19,BTC-USD,59438.5,59617.63,57787.3,58427.35,22809.31251,,
2024-08-20,BTC-USD,59013.8,61400.0,58548.23,59438.5,31477.44548,,
2024-08-21,BTC-USD,61156.03,61820.93,58783.47,59013.8,27983.6422,,
2024-08-22,BTC-USD,60375.84,61400.0,59724.87,61156.03,21241.20588,,
2024-08-23,BTC-USD,64037.24,64955.0,60342.14,60375.83,38118.07089,,
2024-08-24,BTC-USD,64157.01,64494.5,63531.0,64037.24,15857.15616,,
2024-08-25,BTC-USD,64220.0,65000.0,63773.27,64157.02,12305.47977,,
2024-08-26,BTC-USD,62834.0,64481.0,62800.0,64219.99,19470.05276,,
2024-08-27,BTC-USD,59415.0,63212.0,58034.01,62834.0,35135.94178,,
2024-08-28,BTC-USD,59034.9,60234.98,57860.0,59415.0,36868.54275,,
2024-08-29,BTC-USD,59359.01,61166.99,58713.09,59034.9,27020.90743,,
2024-08-30,BTC-USD,59123.99,59944.07,57701.1,59359.0,28519.32195,,
2024-08-31,BTC-USD,58973.99,59462.38,58744.0,59123.99,8798.409,,
2024-09-01,BTC-USD,57301.86,59076.59,57201.0,58974.0,20705.15741,60602.940714285716,42.76090214966621
2024-09-02,BTC-USD,59132.13,59425.69,57128.0,57301.77,22895.01461,60581.05714285715,49.07652621698574
2024-09-03,BTC-USD,57487.73,59809.65,57415.0,59132.12,22828.18447,60472.052142857145,45.715118424089475
2024-09-04,BTC-USD,57970.9,58519.0,55606.0,57487.74,35560.82146,60244.542857142864,40.13803096872475
2024-09-05,BTC-USD,56180.0,58327.07,55643.65,57970.9,27806.91413,59944.840000000004,37.773831738664725
2024-09-06,BTC-USD,53962.97,57008.0,52550.0,56180.0,54447.76826,59225.249285714286,17.946737139108194
2024-09-07,BTC-USD,54160.86,54850.0,53745.54,53962.97,16694.04774,58511.23857142857,18.352612959784068
2024-09-08,BTC-USD,54869.95,55318.0,53629.01,54160.86,16274.14779,57843.37785714285,21.561568722394313
2024-09-09,BTC-USD,57042.0,58088.0,54591.96,54869.95,32384.51737,57429.663571428566,33.187384035910256
2024-09-10,BTC-USD,57635.99,58044.36,56386.4,57042.01,23626.78126,57302.591428571424,43.82294628875393
2024-09-11,BTC-USD,57338.0,57981.71,55545.19,57635.99,33026.56757,57181.38428571429,44.07425876726143
2024-09-12,BTC-USD,58132.32,58588.0,57324.0,57338.0,31074.40631,57093.76357142858,45.8524842357953
2024-09-13,BTC-USD,60498.0,60625.0,57632.62,58132.31,29825.23333,57191.90714285715,54.0605748242647
